,cb_price,cb_size,bf_price,bf_size,handling,net_profit,cb_btc,cb_usdt,bf_btc,bf_usdt,,Total Net
58,7275.84,0.46,7280.556522,-0.46,0,2.1696,67.3784723,573451.7885,32.6215277,826581.2831,,
59,7275.84,0.46,7280.556522,-0.46,0,2.1696,67.8384723,570104.9021,32.1615277,829930.3391,,
60,7275.84,0.46,7280.556522,-0.46,0,2.1696,68.2984723,566758.0157,31.7015277,833279.3951,,
61,7275.84,0.47,7280.6,-0.47,0,2.2372,68.7684723,563338.3709,31.2315277,836701.2771,,
62,7275.84,0.47,7280.6,-0.47,0,2.2372,69.2384723,559918.7261,30.7615277,840123.1591,,
63,7275.84,0.46,7280.556522,-0.46,0,2.1696,69.6984723,556571.8397,30.3015277,843472.2151,,
64,7275.84,0.46,7280.556522,-0.46,0,2.1696,70.1584723,553224.9533,29.8415277,846821.2711,,
65,7283.25,0.01,7283.8,-0.01,0,0.0055,70.1684723,553152.1208,29.8315277,846894.1091,,
66,7287.43,0.01,7288,-0.01,0,0.0057,70.1784723,553079.2465,29.8215277,846966.9891,,
67,7286.66,0.01,7288,-0.01,0,0.0134,70.1884723,553006.3799,29.8115277,847039.8691,,
68,7286.63,0.01,7288,-0.01,0,0.0137,70.1984723,552933.5136,29.8015277,847112.7491,,
69,7286.66,0.01,7288,-0.01,0,0.0134,70.2084723,552860.647,29.7915277,847185.6291,,
70,7286.66,0.01,7288,-0.01,0,0.0134,70.2184723,552787.7804,29.7815277,847258.5091,,
71,7286.66,0.01,7288,-0.01,0,0.0134,70.2284723,552714.9138,29.7715277,847331.3891,,
72,7286.66,0.01,7288,-0.01,0,0.0134,70.2384723,552642.0472,29.7615277,847404.2691,,
73,7286.54,0.05,7287.04,-0.05,0,0.025,70.2884723,552277.7202,29.7115277,847768.6211,,
74,7285.7,0.05,7287.04,-0.05,0,0.067,70.3384723,551913.4352,29.6615277,848132.9731,,
75,7285.7,0.05,7287.04,-0.05,0,0.067,70.3884723,551549.1502,29.6115277,848497.3251,,
76,7285.7,0.05,7287.04,-0.05,0,0.067,70.4384723,551184.8652,29.5615277,848861.6771,,
77,7285.7,0.05,7287.04,-0.05,0,0.067,70.4884723,550820.5802,29.5115277,849226.0291,,
78,7285.7,0.05,7287.04,-0.05,0,0.067,70.5384723,550456.2952,29.4615277,849590.3811,,
79,7285.7,0.05,7287.04,-0.05,0,0.067,70.5884723,550092.0102,29.4115277,849954.7331,,
80,7285.7,0.05,7287.04,-0.05,0,0.067,70.6384723,549727.7252,29.3615277,850319.0851,,
81,7285.7,0.05,7287.04,-0.05,0,0.067,70.6884723,549363.4402,29.3115277,850683.4371,,
82,7285.7,0.05,7287.04,-0.05,0,0.067,70.7384723,548999.1552,29.2615277,851047.7891,,
83,7285.69,0.01,7288,-0.01,0,0.0231,70.7484723,548926.2983,29.2515277,851120.6691,,
84,7289.3,0.1,7289.44,-0.1,0,0.014,70.6484723,549655.2283,29.3515277,850391.7251,,
85,7289.3,0.1,7290.41,-0.1,0,0.111,70.5484723,550384.1583,29.4515277,849662.6841,,
86,7289.3,0.1,7290.41,-0.1,0,0.111,70.4484723,551113.0883,29.5515277,848933.6431,,
87,7289.3,0.1,7290.41,-0.1,0,0.111,70.3484723,551842.0183,29.6515277,848204.6021,,
88,7289.3,0.1,7290.41,-0.1,0,0.111,70.2484723,552570.9483,29.7515277,847475.5611,,
89,7289.3,0.1,7290.41,-0.1,0,0.111,70.1484723,553299.8783,29.8515277,846746.5201,,
90,7289.3,0.1,7290.41,-0.1,0,0.111,70.0484723,554028.8083,29.9515277,846017.4791,,
91,7296.6,2,7298.27,-2,0,3.34,68.0484723,568622.0083,31.9515277,831420.9391,,
92,7296.6,2,7299,-2,0,4.8,66.0484723,583215.2083,33.9515277,816822.9391,,
93,7296.6,2,7299,-2,0,4.8,64.0484723,597808.4083,35.9515277,802224.9391,,
94,7296.6,2,7299,-2,0,4.8,62.0484723,612401.6083,37.9515277,787626.9391,,
95,7296.6,2,7297.115,-2,0,1.03,60.0484723,626994.8083,39.9515277,773032.7091,,
96,7294.97,0.12,7297.108333,-0.12,0,0.2566,60.1684723,626119.4119,39.8315277,773908.3621,,
97,7294.97,0.03680646,7297.805258,-0.03680646,0,0.104355822,60.20527876,625850.9099,39.79472124,774176.9685,,
98,7294.97,0.03680646,7297.805258,-0.03680646,0,0.104355822,60.24208522,625582.4079,39.75791478,774445.5749,,
99,7294.97,0.03680646,7297.805258,-0.03680646,0,0.104355822,60.27889168,625313.9059,39.72110832,774714.1813,,
100,7294.97,0.03680646,7297.805258,-0.03680646,0,0.104355822,60.31569814,625045.4038,39.68430186,774982.7876,,
